band1,band2,band3,band4,label
78.25,294.75,313.75,1804.0,1
86.0,312.0,310.75,1895.75,1
65.0,327.0,278.5,2167.0,1
64.0,281.75,262.75,1979.5,1
34.25,216.75,194.5,1671.0,1
5.5,163.5,144.25,1427.5,1
40.0,215.25,206.0,1644.75,1
15.0,214.5,174.25,1448.25,1
8.25,205.0,172.5,1346.25,1
3.25,197.75,184.0,1445.25,1
20.5,229.75,186.75,1797.5,1
22.25,255.5,193.75,1947.0,1
28.0,255.25,189.75,1943.25,1
73.25,307.0,202.0,1936.25,1
105.5,402.75,299.25,2288.5,1
93.75,441.0,345.75,2342.0,1
89.0,419.25,319.25,2259.75,1
87.0,403.5,277.25,2229.0,1
94.75,420.25,272.0,2325.75,1
102.5,437.0,282.75,2466.5,1
110.0,400.25,295.5,2381.25,1
58.0,333.25,252.0,2133.25,1
95.0,352.75,272.5,2041.25,1
101.25,377.5,294.0,2132.25,1
89.0,391.25,289.25,2331.25,1
83.75,353.25,269.0,2299.5,1
81.5,329.0,264.0,2129.5,1
74.75,297.5,235.0,1714.25,1
100.25,401.25,276.75,2076.25,1
66.5,355.5,272.5,2094.0,1
121.5,355.25,286.5,2204.75,1
213.25,469.0,355.0,2723.0,1
269.5,600.25,417.75,3028.25,0
69.0,304.5,254.5,1774.25,1
84.75,326.0,267.5,1784.0,1
74.75,347.5,283.75,1912.0,1
74.75,342.0,273.5,1975.75,1
37.0,239.75,235.5,1651.25,1
84.75,309.75,292.0,1571.25,1
88.25,409.0,306.25,1990.0,1
60.0,360.25,212.25,1817.0,1
65.5,302.75,232.0,1723.25,1
61.5,314.75,232.25,1806.25,1
67.25,392.0,239.0,2006.5,1
70.5,431.5,255.5,2098.25,1
13.25,310.75,213.25,1848.0,1
19.25,257.75,211.0,1716.75,1
93.0,358.75,259.25,1971.25,1
68.75,338.75,233.25,1828.25,1
34.25,264.25,200.5,1580.25,1
54.25,274.5,233.5,1595.25,1
81.75,346.5,291.5,1876.25,1
80.25,382.0,264.0,2103.75,1
32.5,264.75,187.5,1854.5,1
31.75,219.5,158.75,1575.25,1
42.25,313.75,273.5,1783.0,1
66.75,349.75,314.5,1987.0,1
79.75,323.75,275.75,2098.25,1
67.25,302.0,234.0,2057.5,1
48.25,279.75,210.0,1850.75,1
113.25,397.0,311.75,1975.75,1
131.75,463.0,327.0,2319.75,1
186.25,519.5,365.75,2479.25,1
323.75,601.5,493.75,2725.5,1
245.75,572.75,456.5,2802.75,1
384.5,615.0,433.0,2760.75,0
189.5,640.0,490.5,2534.75,1
181.25,619.5,451.25,2484.75,1
153.25,540.0,405.5,2350.75,1
115.5,468.5,361.5,2263.75,1
79.0,336.75,325.75,2072.5,1
114.75,377.25,337.5,1917.5,1
137.75,503.75,326.25,2222.5,1
153.25,518.5,326.25,2215.75,1
174.25,556.0,423.5,2352.75,1
196.5,583.25,458.0,2501.75,1
216.25,647.75,447.25,2745.25,1
215.25,662.0,419.75,2802.5,1
127.0,526.0,333.0,2333.5,1
113.25,467.0,333.25,2220.0,1
167.25,545.25,379.75,2251.5,1
130.0,523.0,378.25,2189.75,1
130.5,475.5,358.25,2080.75,1
230.25,589.75,417.25,2226.75,1
262.25,678.75,464.0,2447.0,1
169.0,541.0,352.5,2266.0,1
98.75,402.25,276.75,2058.75,1
174.25,465.0,318.25,2293.5,1
222.75,578.0,445.0,2425.25,1
185.0,519.0,432.25,2396.75,1
139.0,419.5,327.0,2174.5,1
137.75,453.25,322.25,2158.0,1
107.0,465.5,343.25,2112.0,0
157.5,508.0,393.0,2265.0,0
320.25,695.5,611.25,2691.0,0
404.0,778.0,697.25,2737.75,0
358.5,670.5,593.0,2833.0,1
341.5,662.0,559.25,2758.0,1
720.25,855.5,665.5,2545.25,0
179.5,640.25,448.25,2780.0,1
154.25,576.5,368.75,2575.5,1
180.5,544.25,364.75,2462.0,1
180.5,496.25,359.25,2341.25,1
95.75,408.25,332.75,2102.75,1
24.0,266.0,253.25,1797.0,1
121.0,412.5,307.25,2100.75,1
205.5,609.25,406.75,2598.75,1
209.0,686.25,462.75,2732.75,1
233.25,665.75,477.25,2754.5,1
256.75,651.75,491.5,2790.0,1
189.5,605.5,445.75,2726.0,1
201.0,592.75,431.75,2527.25,1
217.0,659.5,421.0,2589.0,1
179.5,654.25,408.75,2605.25,1
185.0,590.75,407.5,2543.0,1
187.25,557.75,396.75,2394.75,1
219.0,606.75,431.0,2424.0,1
240.0,662.75,458.5,2600.75,1
179.5,609.0,410.25,2601.25,1
229.5,602.0,399.75,2551.25,1
237.25,646.75,462.5,2674.5,1
181.75,585.5,448.0,2405.0,1
164.75,495.75,390.25,2430.0,0
191.75,553.5,401.0,2466.0,0
228.75,620.75,437.75,2545.0,0
248.0,659.0,481.5,2727.25,0
253.25,703.5,545.25,2776.0,0
413.25,756.0,679.25,2852.5,0
388.0,683.75,644.25,2858.5,1
267.75,622.0,529.0,3021.0,1
334.5,665.5,543.5,3031.0,1
443.0,729.5,575.75,3016.5,0
110.25,518.25,356.25,2613.75,1
95.5,469.5,329.5,2461.25,1
118.0,454.5,307.25,2393.5,1
147.75,447.5,305.25,2308.75,1
165.5,582.25,393.75,2442.0,1
89.0,464.5,307.75,2392.0,1
143.75,545.5,384.0,2412.5,1
240.0,694.75,520.0,2727.75,1
184.0,708.75,475.25,3021.0,1
191.0,669.0,441.75,2975.5,1
201.5,623.0,415.25,2905.75,1
202.25,623.75,457.5,2714.25,1
246.5,690.75,538.5,2771.0,1
316.0,814.0,561.0,2950.75,1
184.0,696.5,475.5,2935.0,1
214.5,645.75,498.0,2619.5,1
235.75,636.25,508.75,2541.5,1
251.0,630.5,519.25,2485.25,1
243.75,669.75,478.5,2668.0,1
232.75,668.5,472.5,2827.0,1
281.5,681.5,549.25,2671.75,1
266.75,708.75,594.75,2721.5,1
222.5,637.25,474.0,2619.5,1
256.0,675.0,469.5,2699.25,0
281.5,722.75,515.25,2737.25,0
289.25,719.0,540.75,2793.5,0
310.75,740.25,597.5,3093.0,0
352.0,740.0,676.0,3110.75,0
273.5,676.75,583.0,2879.75,0
261.25,649.0,516.25,2894.75,0
243.75,640.5,470.25,3131.0,0
246.25,636.0,471.75,3182.75,0
247.5,631.75,480.5,3192.5,0
162.5,490.0,334.0,2531.75,1
139.25,491.75,375.75,2483.0,1
138.5,489.75,390.0,2463.5,1
155.5,492.25,384.5,2437.75,1
227.5,660.25,482.0,2757.5,1
229.5,638.25,489.0,2824.75,1
247.25,713.0,556.0,2851.25,1
283.5,741.0,536.0,2925.25,1
203.0,680.75,501.5,3010.25,1
199.5,668.25,516.0,2917.0,1
198.25,649.75,523.75,2816.5,1
230.75,618.5,509.0,2765.5,1
261.5,662.5,543.25,2917.5,1
241.5,700.0,549.75,2890.75,1
186.0,611.5,536.5,2822.25,1
247.5,655.75,560.0,2710.0,1
239.75,617.0,521.5,2677.75,1
239.75,617.0,521.5,2677.75,1
209.5,598.25,504.75,2804.5,1
223.25,600.75,504.75,2916.25,1
230.5,610.75,523.5,2829.75,1
296.25,704.25,601.75,2832.5,0
241.5,626.25,528.5,2780.0,0
231.75,635.75,470.75,2930.5,0
247.75,625.75,482.75,3038.0,0
300.0,641.5,505.5,3267.25,0
409.25,834.0,751.25,3477.25,0
457.25,804.0,850.5,3054.75,0
290.75,699.5,606.0,2712.25,0
270.0,656.0,541.25,2839.25,0
257.0,627.0,463.25,3010.0,0
284.0,629.25,480.0,3037.75,0
320.0,632.25,502.5,3053.25,0
190.25,447.5,392.75,2241.75,1
180.25,464.25,419.5,2241.25,1
180.25,464.25,419.5,2241.25,1
166.5,430.25,416.75,2078.0,1
145.5,432.75,421.5,1960.25,1
219.5,495.25,507.5,2323.25,1
152.25,459.75,447.5,2142.25,1
90.0,379.75,363.0,1984.5,1
78.5,378.25,347.25,2230.75,1
90.25,364.0,336.25,2115.0,1
93.75,341.25,327.0,1957.75,1
57.5,324.25,317.75,1781.25,1
71.25,393.25,361.0,2152.25,1
59.5,367.25,355.75,2109.75,1
67.75,338.0,338.5,2004.0,1
102.0,412.5,392.0,2310.0,1
105.75,355.5,330.75,2154.25,1
105.75,355.5,330.75,2154.25,1
105.5,422.75,357.0,2412.0,1
93.0,401.0,344.5,2357.5,1
120.5,423.25,376.0,2516.75,1
172.0,506.75,430.25,2556.25,0
155.25,463.75,422.25,2433.5,0
201.0,517.0,463.0,2655.5,0
201.0,517.0,463.0,2655.5,0
417.25,730.5,740.0,3167.0,0
680.25,1089.0,1098.25,3271.0,0
552.25,885.5,924.25,2876.75,0
250.5,629.25,535.25,2842.25,0
230.0,642.5,530.5,2861.25,0
231.5,579.0,426.75,2982.25,0
258.75,553.0,427.25,2951.75,0
258.75,553.0,427.25,2951.75,0
110.5,341.5,320.25,1676.75,1
124.25,361.5,385.5,1890.75,1
124.25,361.5,385.5,1890.75,1
91.5,302.25,284.25,1652.75,1
49.0,279.5,261.75,1436.5,1
133.75,442.0,420.5,1956.0,1
59.75,347.75,324.25,1780.5,1
95.5,355.75,289.0,1742.5,1
85.5,387.25,343.0,1977.5,1
64.75,316.5,271.25,1767.75,1
64.75,316.5,271.25,1767.75,1
54.0,338.0,282.0,1920.0,1
99.75,443.0,319.5,2223.25,1
49.75,339.5,277.5,2028.0,1
59.25,404.25,283.75,2097.5,1
122.75,466.5,359.75,2480.0,1
67.25,309.0,265.25,1859.25,1
67.25,309.0,265.25,1859.25,1
101.0,378.75,340.0,2166.5,1
73.25,304.0,266.0,1732.0,1
117.5,418.0,386.0,1992.0,0
157.25,456.5,412.0,2153.0,0
132.0,431.5,409.5,2136.5,0
427.75,686.75,674.0,2163.25,0
427.75,686.75,674.0,2163.25,0
765.5,1024.5,1082.25,2483.0,0
680.5,1042.5,1088.5,2942.25,0
466.75,840.0,789.25,3044.0,0
415.0,833.5,721.25,3096.5,0
374.0,724.25,619.5,2766.25,0
308.75,627.5,507.75,2815.25,0
206.0,577.5,428.0,2800.25,0
206.0,577.5,428.0,2800.25,0
128.75,431.0,338.75,2038.0,1
133.5,433.5,369.75,2260.5,1
104.75,395.25,330.0,2069.75,1
68.0,322.0,279.25,1754.75,1
114.5,419.75,357.0,1950.5,1
291.5,717.75,557.5,2528.0,1
223.25,631.75,478.5,2341.25,1
201.25,610.75,452.75,2312.5,1
249.5,641.75,485.5,2568.25,1
237.75,630.25,466.5,2516.5,1
222.5,620.5,446.25,2472.5,1
